,longitude,latitude,glim,contact1,contact2,geometry,LST_01,LST_02,LST_03,LST_04,LST_05,LST_06,LST_07,LST_08,LST_09,LST_10,LST_11,LST_12
143052,18.75,23.75,3.0,0.0,1.0,POINT (18.75 23.75),301.552001953125,305.31903076171875,311.9837951660156,317.61712646484375,321.55047607421875,324.8028564453125,326.4476013183594,326.3476257324219,323.5228576660156,317.374267578125,309.7542724609375,303.124755859375
143053,18.75,23.25,2.0,1.0,0.0,POINT (18.75 23.25),303.0220031738281,307.6095275878906,314.32952880859375,319.7028503417969,323.0618896484375,325.28094482421875,326.7923583984375,326.7704772949219,324.7942810058594,319.0085754394531,312.1866455078125,305.08856201171875
143054,18.75,22.75,3.0,0.0,1.0,POINT (18.75 22.75),303.093994140625,307.82952880859375,314.88189697265625,320.624755859375,323.5323791503906,325.6333312988281,326.6666564941406,326.2685546875,324.3619079589844,319.181884765625,312.2361755371094,304.855224609375
143056,18.75,21.75,3.0,0.0,1.0,POINT (18.75 21.75),296.07098388671875,300.2342834472656,305.6542663574219,311.0819091796875,313.6000061035156,315.3876037597656,316.0590515136719,315.7218933105469,313.9180908203125,309.1428527832031,303.6876220703125,297.9409484863281
143057,18.75,21.25,3.0,0.0,1.0,POINT (18.75 21.25),297.8119812011719,301.5704650878906,307.1904602050781,312.40380859375,314.92095947265625,316.78759765625,317.2542724609375,317.143798828125,315.8152160644531,311.21905517578125,305.1781005859375,299.17523193359375
143058,18.75,20.75,3.0,0.0,1.0,POINT (18.75 20.75),296.7989807128906,300.77618408203125,306.72381591796875,311.9790344238281,314.4580993652344,315.63714599609375,316.01904296875,315.6904602050781,314.42474365234375,310.0466613769531,303.8981018066406,298.2818908691406
143059,18.75,20.25,3.0,0.0,1.0,POINT (18.75 20.25),299.7900085449219,303.7942810058594,309.7266540527344,315.05523681640625,317.2456970214844,318.7057189941406,319.0038146972656,318.82855224609375,317.65618896484375,313.5104675292969,307.3695068359375,301.528564453125
143060,18.75,19.75,2.0,1.0,0.0,POINT (18.75 19.75),303.76397705078125,307.8133239746094,313.4952392578125,318.8314208984375,320.9618835449219,321.95428466796875,322.53521728515625,322.05047607421875,321.29998779296875,317.0590515136719,310.9342956542969,305.1190490722656
143061,18.75,19.25,3.0,0.0,1.0,POINT (18.75 19.25),301.9010009765625,305.9142761230469,312.4914245605469,318.2561950683594,320.8752136230469,321.8685607910156,322.1542663574219,321.6600036621094,321.0847473144531,316.52667236328125,310.11712646484375,303.70953369140625
143411,19.25,24.25,3.0,0.0,1.0,POINT (19.25 24.25),299.1130065917969,302.4285583496094,308.7342834472656,314.5561828613281,318.7095031738281,321.9076232910156,323.0323791503906,322.855224609375,320.7171325683594,314.48284912109375,306.8152160644531,300.1876220703125
143412,19.25,23.75,2.0,1.0,0.0,POINT (19.25 23.75),300.1719970703125,303.8695068359375,310.5,316.49713134765625,320.7047424316406,323.84381103515625,325.5618896484375,325.3809509277344,322.576171875,316.35711669921875,308.90093994140625,301.7485656738281
143413,19.25,23.25,3.0,0.0,1.0,POINT (19.25 23.25),298.83599853515625,302.5028381347656,308.9571228027344,314.95904541015625,318.6380920410156,321.4609375,323.0942687988281,322.7257080078125,319.9961853027344,313.9314270019531,306.7685546875,300.1933288574219
143414,19.25,22.75,3.0,0.0,1.0,POINT (19.25 22.75),298.6529846191406,302.5809326171875,308.7961730957031,314.51904296875,317.9961853027344,320.7047424316406,322.26190185546875,321.8952331542969,319.3114318847656,313.2314147949219,306.586669921875,300.297119140625
143421,19.25,19.25,3.0,0.0,1.0,POINT (19.25 19.25),301.6300048828125,305.2990417480469,312.3085632324219,318.3571472167969,320.7914123535156,321.7542724609375,322.44476318359375,322.03045654296875,321.50189208984375,316.7533264160156,310.12286376953125,303.32476806640625
143772,19.75,23.75,2.0,1.0,0.0,POINT (19.75 23.75),298.4289855957031,302.0590515136719,308.6133117675781,314.4409484863281,318.7057189941406,321.9742736816406,323.5057067871094,323.279052734375,320.71331787109375,314.56475830078125,306.7419128417969,299.9723815917969
143773,19.75,23.25,3.0,0.0,1.0,POINT (19.75 23.25),298.572998046875,301.9656982421875,308.27618408203125,314.2847595214844,318.33905029296875,321.9380798339844,323.662841796875,323.4599914550781,320.7971496582031,314.5723876953125,306.82000732421875,299.9656982421875
144131,20.25,24.25,3.0,0.0,1.0,POINT (20.25 24.25),298.3269958496094,301.5590515136719,308.5876159667969,314.2171325683594,318.76666259765625,322.4714050292969,323.87237548828125,323.6933288574219,321.4276123046875,315.0952453613281,306.894287109375,299.81524658203125
144132,20.25,23.75,3.0,0.0,1.0,POINT (20.25 23.75),300.177001953125,303.7895202636719,310.6476135253906,316.3571472167969,320.6971435546875,324.1695251464844,325.51617431640625,325.4466552734375,322.9723815917969,316.86285400390625,308.82952880859375,301.7895202636719
144133,20.25,23.25,3.0,0.0,1.0,POINT (20.25 23.25),298.9750061035156,302.32476806640625,309.1523742675781,314.63427734375,319.181884765625,322.40570068359375,323.9409484863281,323.92572021484375,321.8056945800781,315.80474853515625,307.61712646484375,300.6666564941406
